|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
335| | | | | | | | | 
336|Apartamento para venda com 71 metros quadrados com 3 quartos em Areia Preta - Natal - RN|R$ 250.000|3 quartos|71m²|R$ 915|2 vagas|Natal, Areia Preta | |2
337|Apartamento para venda com 123 metros quadrados com 3 quartos em Barro Vermelho - Natal - |R$ 645.000|3 quartos|123m²|R$ 870|2 vagas|Natal, Barro Vermelho | |2
338|Apartamento para venda com 233 metros quadrados com 6 quartos em Barro Vermelho - Natal - |R$ 900.000|5 ou mais quartos|233m²|R$ 1.750|3 vagas|Natal, Barro Vermelho | |3
339|Apartamento para venda com 235 m² com 4 qtos em Tirol - Natal - RN|R$ 900.000|4 quartos|235m²|R$ 1.350|4 vagas|Natal, Tirol | |4
340|Apartamento para venda com 56 metros quadrados com 2 quartos em Tirol - Natal -|R$ 300.000|2 quartos|56m²|R$ 450|1 vaga|Natal, Tirol | |1
341| | | | | | | | | 
342|Apartamento para venda com 95 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 39.000|3 quartos|95m²|R$ 0|2 vagas|Natal, Tirol | |2
343|Apartamento para venda tem 208 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 2.100.000|4 quartos|208m²|R$ 1.260|3 vagas|Natal, Tirol | |3
344|Apartamento para venda possui 56 metros quadrados com 2 quartos em Pitimbu - Natal - RN|R$ 260.000|2 quartos|56m²|R$ 380|1 vaga|Natal, Pitimbu | |1
345| | | | | | | | | 
346|Apartamento para venda com 335 metros quadrados com 3 quartos em Petrópolis - Natal - RN|R$ 2.590.000|3 quartos|335m²|R$ 3.000|3 vagas|Natal, Tirol | |3
347|Apartamento para venda com 56 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 175.000|2 quartos|56m²|R$ 450|1 vaga|Natal, Ponta Negra | |1
348|Apartamento para venda com 60 metros quadrados com 1 quarto em Ponta Negra - Natal - RN|R$ 415.500|1 quarto|60m²|R$ 430|1 vaga|Natal, Ponta Negra | |1
349|Apartamento para venda Serrambi III, 75m², com 2 quartos em Neópolis - Natal - RN|R$ 140.000|2 quartos|75m²|R$ 226|1 vaga|Natal, Capim Macio | |1
350| | | | | | | | | 
351|Apartamento para venda possui 103 metros quadrados com 3 quartos em Lagoa Nova - Natal - R|R$ 560.000|3 quartos|103m²|R$ 690|2 vagas|Natal, Lagoa Nova | |2
352|Apartamento para venda Parque dos Rios, 67m², com 2 quartos em Neópolis - Natal - RN|R$ 110.000|2 quartos|67m²|R$ 100|1 vaga|Natal, Capim Macio | |1
353|Apartamento para venda Serrambi I, 65m², com 2 quartos em Neópolis - Natal - RN|R$ 115.000|2 quartos|65m²|R$ 100|1 vaga|Natal, Ponta Negra | |1
354|Apartamento para venda com 150 metros quadrados com 3 quartos em Pajuçara - Natal - RN|R$ 350.000|3 quartos|150m²|R$ 1.140|2 vagas|Natal, Pajuçara | |2
355|Apartamento para venda Sun Golden, 55m², com 2 quartos em Neópolis - Natal - RN|R$ 230.000|2 quartos|55m²|R$ 400|1 vaga|Natal, Ponta Negra | |1
356| | | | | | | | | 
357|Apartamento para venda Poetas, 64m², com 2 quartos em Ponta Negra - Natal - RN|R$ 372.000|2 quartos|64m²|R$ 650|1 vaga|Natal, Ponta Negra | |1
358|Apartamento para venda Paul Cezanne, 99m², com 3 quartos em Neópolis - Natal - RN|R$ 530.000|3 quartos|99m²|R$ 635|2 vagas|Natal, Capim Macio | |2
359|Apartamento para venda Porto Tropical, 56m², com 2 quartos em Ponta Negra - Natal - RN|R$ 250.000|2 quartos|56m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
360|Apartamento para venda Portamaris, 80m², com 3 quartos em Ponta Negra - Natal - RN|R$ 500.000|3 quartos|80m²|R$ 422|2 vagas|Natal, Ponta Negra | |2
361|Apartamento para venda possui 132 metros quadrados com 4 quartos em Ponta Negra - Natal - |R$ 680.000|4 quartos|132m²|R$ 600|2 vagas|Natal, Ponta Negra | |2
362|Apartamento para venda possui 76 metros quadrados com 3 quartos em Dix-Sept Rosado - Natal|R$ 350.000|3 quartos|76m²|R$ 0|2 vagas|Natal, Dix-Sept Rosado | |2
363| | | | | | | | | 
364|Apartamento para venda Mediterranê, 148m², com 3 quartos em Capim Macio - Natal - RN|R$ 600.000|3 quartos|148m²|R$ 0|2 vagas|Natal, Capim Macio | |2
365|Apartamento para venda Terra Mater, 90m², com 3 quartos em Lagoa Nova - Natal - RN|R$ 350.000|3 quartos|90m²|R$ 520|2 vagas|Natal, Alecrim | |2
366|Apartamento para venda Solar Mares, 282m², com 4 quartos em Ponta Negra - Natal - RN|R$ 900.000|4 quartos|282m²|R$ 1.400|4 vagas|Natal, Ponta Negra | |4
367|Apartamento para venda com 80 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 134.000|2 quartos|80m²|R$ 330|2 vagas|Natal, Lagoa Nova | |2
368|Apartamento 2/4 Suíte, Varanda Para Venda No Condomínio Estrela de Natal|R$ 223.000|2 quartos|56m²|R$ 0|1 vaga|Natal, Pitimbu | |1
369|Apartamento 3/4  89m² Para Venda com Localização privilegiada, entre o Natal Shopping e o |R$ 199.990|3 quartos|89m²|R$ 0|1 vaga|Natal, Candelária | |1
370|Apartamento para venda possui 235 metros quadrados com 5 quartos em Lagoa Nova - Natal - R|R$ 850.000|5 ou mais quartos|235m²|R$ 1.900|3 vagas|Natal, Lagoa Nova | |3
371|Apartamento para venda com 220 metros quadrados com 4 quartos em Barro Vermelho - Natal - |R$ 700.000|4 quartos|220m²|R$ 960|2 vagas|Natal, Barro Vermelho | |2
372|Apartamento para venda possui 138 metros quadrados com 3 quartos em Lagoa Nova - Natal - R|R$ 890.000|3 quartos|138m²|R$ 630|2 vagas|Natal, Lagoa Nova | |2
373|Apartamento para venda com 120 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 280.000|3 quartos|120m²|R$ 0|2 vagas|Natal, Tirol | |2
374|Apartamento para venda com 280 metros quadrados com 3 quartos em Areia Preta - Natal - RN|R$ 1.900.000|3 quartos|280m²|R$ 2.900|3 vagas|Natal, Areia Preta | |3
375|Apartamento para venda tem 55 metros quadrados com 2 quartos em Capim Macio - Natal - RN|R$ 350.000|2 quartos|55m²|R$ 344|2 vagas|Natal, Capim Macio | |2
376|Apartamento para venda tem 108 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 628.834|3 quartos|108m²|R$ 800|2 vagas|Natal, Tirol | |2
377|Apartamento para venda com 109 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 650.000|3 quartos|109m²|R$ 0|2 vagas|Natal, Capim Macio | |2
378|Apartamento para venda tem 96 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 410.000|3 quartos|96m²|R$ 789|2 vagas|Natal, Tirol | |2
379|Apartamento para venda Serra do Cabugi, 65m², 2 quartos em Capim Macio - Natal|R$ 170.000|2 quartos|65m²|R$ 345|1 vaga|Natal, Capim Macio | |1
380|Apartamento para venda em Capim Macio - Natal - RN - Paradise Village|R$ 350.000|2 quartos|55m²|R$ 421|2 vagas|Natal, Capim Macio | |2
381|Apartamento para venda em Ponta Negra - Natal - RN - Studio da Praia - 2/4 um suite|R$ 250.000|2 quartos|53m²|R$ 400|1 vaga|Natal, Ponta Negra | |1
382|Apartamento para venda possui 130 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 300.000|3 quartos|130m²|R$ 978|1 vaga|Natal, Tirol | |1
383|Apartamento para venda com 74m² com 2 quartos em Lagoa Nova - Natal - RN|R$ 170.000|2 quartos|74m²|R$ 380|2 vagas|Natal, Lagoa Nova | |2
384| | | | | | | | | 
385|Apartamento para venda com 60 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 320.000|2 quartos|60m²|R$ 670|1 vaga|Natal, Ponta Negra | |1
386|Apartamento para venda tem aproximadamente  250 m2,com 4 quartos em Areia Preta - Natal - |R$ 2.800.000|4 quartos|250m²|R$ 0|4 vagas|Natal, Areia Preta | |4
387|Apartamento para venda Pallazo de Lacqua,220m², com 4 quartos em Lagoa Nova - Natal - RN|R$ 850.000|4 quartos|220m²|R$ 1.200|3 vagas|Natal, Nova Descoberta | |3
388|Apartamento para venda tem 250 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 1.000.000|4 quartos|250m²|R$ 1.800|4 vagas|Natal, Tirol | |4
389|Apartamento para venda possui 83 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 250.000|3 quartos|83m²|R$ 955|2 vagas|Natal, Candelária | |2
390|Apartamento para venda tem 240 metros quadrados em Tirol - Natal - RN|R$ 1.500.000|4 quartos|240m²|R$ 2.000|3 vagas|Natal, Tirol | |3
391|Apartamento para venda com 70 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 210.000|3 quartos|75m²|R$ 350|1 vaga|Natal, Capim Macio | |1
392|Apartamento para venda possui 180 metros quadrados com 4 quartos em Lagoa Nova - Natal - R|R$ 1.350.000|4 quartos|180m²|R$ 0|3 vagas|Natal, Lagoa Nova | |3
393|Apartamento para venda possui 96 metros quadrados com 3 quartos em Capim Macio - Natal - R|R$ 495.000|3 quartos|96m²|R$ 675|2 vagas|Natal, Capim Macio | |2
394|Apartamento para venda com 98 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 850.000|3 quartos|98m²|R$ 475|2 vagas|Natal, Tirol | |2
395| | | | | | | | | 
396|Apartamento para venda possui 140 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 1.315.000|3 quartos|140m²|R$ 0|3 vagas|Natal, Tirol | |3
397|Apartamento para venda possui 98 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 480.000|3 quartos|98m²|R$ 550|2 vagas|Natal, Candelária | |2
398|Apartamento para venda possui 110 metros quadrados com 3 quartos em Lagoa Nova - Natal - R|R$ 450.000|3 quartos|110m²|R$ 0|2 vagas|Natal, Lagoa Nova | |2
399|Apartamento para venda possui 80 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 320.000|3 quartos|80m²|R$ 380|2 vagas|Natal, Candelária | |2
400|Apartamento para venda possui 208 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 2.200.000|3 quartos|208m²|R$ 1.350|4 vagas|Natal, Tirol | |4
401| | | | | | | | | 
402|Apartamento para venda com 64m²  com 2/4 , 2 vagas em Neópolis - Natal - RN|R$ 350.000|2 quartos|64m²|R$ 385|2 vagas|Natal, Neópolis | |2
403|Apartamento para venda tem 51 metros quadrados com 2 quartos em Pitimbu - Natal - RN|R$ 190.000|2 quartos|51m²|R$ 300|1 vaga|Natal, Pitimbu | |1
404|Apartamento para venda possui 108 metros quadrados com 3 quartos em Lagoa Nova - Natal - R|R$ 635.000|3 quartos|108m²|R$ 635|2 vagas|Natal, Lagoa Nova | |2
405|Apartamento para venda Serrambi II, 57m², com 2 quartos em Neópolis - Natal - RN|R$ 137.500|2 quartos|57m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
406|Apartamento para venda tem 57 metros quadrados com 2 quartos em Tirol - Natal - RN|R$ 290.000|2 quartos|57m²|R$ 370|1 vaga|Natal, Tirol | |1
407|Apartamento para venda com 101 metros quadrados com 3 quartos em Ponta Negra - Natal - RN|R$ 690.000|3 quartos|101m²|R$ 550|2 vagas|Natal, Ponta Negra | |2
408|Apartamento para venda com 290 metros quadrados com 3 quartos em Barro Vermelho - Natal - |R$ 615.000|3 quartos|290m²|R$ 1.350|2 vagas|Natal, Barro Vermelho | |2
409|Apartamento para venda tem 96 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 550.000|3 quartos|96m²|R$ 549|2 vagas|Natal, Candelária | |2
410|Apartamento para venda com 56 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 240.000|2 quartos|56m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
411|Apartamento para venda com 127 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 820.000|3 quartos|127m²|R$ 700|3 vagas|Natal, Lagoa Nova | |3
412|Apartamento para venda com 50m² com 2 quartos em Lagoa Nova - Natal - RN|R$ 170.000|2 quartos|50m²|R$ 490|1 vaga|Natal, Lagoa Nova | |1
413| | | | | | | | | 
414|Apartamento para venda tem 58 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 385.000|2 quartos|58m²|R$ 550|2 vagas|Natal, Lagoa Nova | |2
415|Apartamento para venda tem 88 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 790.000|3 quartos|88m²|R$ 600|2 vagas|Natal, Tirol | |2
416|Apartamento para venda tem 52 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 230.000|2 quartos|52m²|R$ 345|1 vaga|Natal, Ponta Negra | |1
417|Apartamento para venda com 47 metros quadrados com 1 quarto em Ponta Negra - Natal - RN|R$ 400.000|1 quarto|47m²|R$ 477|1 vaga|Natal, Ponta Negra | |1
418|Apartamento para venda tem 54 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 317.000|2 quartos|54m²|R$ 0|1 vaga|Natal, Lagoa Nova | |1
419|Apartamento para venda possui 90 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 400.000|3 quartos|90m²|R$ 900|2 vagas|Natal, Lagoa Nova | |2
420|Apartamento para venda com 222 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 3.000.000|4 quartos|222m²|R$ 1.000|3 vagas|Natal, Tirol | |3
421|Apartamento para venda tem 96 metros quadrados com 3 quartos em Lagoa Seca - Natal - RN|R$ 410.000|3 quartos|96m²|R$ 824|2 vagas|Natal, Lagoa Seca | |2
422|Apartamento para venda possui 185 metros quadrados com 4 quartos em Barro Vermelho - Natal|R$ 300.000|4 quartos|185m²|R$ 995|1 vaga|Natal, Barro Vermelho | |1
423|Apartamento para venda possui 185 metros quadrados com 4 quartos em Barro Vermelho - Natal|R$ 300.000|4 quartos|185m²|R$ 995|1 vaga|Natal, Barro Vermelho | |1
424|Apartamento para venda possui 34 metros quadrados com 1 quarto em Ponta Negra - Natal - RN|R$ 290.000|1 quarto|34m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
425|Apartamento para venda possui 56 m² com 2/4 em Lagoa Nova - Natal|R$ 135.000|2 quartos|56m²|R$ 0|1 vaga|Natal, Lagoa Nova | |1
426|Apartamento para venda tem 98 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 380.000|3 quartos|98m²|R$ 1.300|2 vagas|Natal, Capim Macio | |2
427|Apartamento para venda possui 98 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 815.000|3 quartos|98m²|R$ 470|2 vagas|Natal, Tirol | |2
428|Apartamento para venda Villagio de Ponta Negra, 74m², com 2 quartos em Ponta Negra - Natal|R$ 155.000|2 quartos|74m²|R$ 350|1 vaga|Natal, Ponta Negra | |1
429|Apartamento para venda Porto Arena, 56m², com 2 quartos em Candelária - Natal - RN|R$ 375.000|2 quartos|56m²|R$ 0|1 vaga|Natal, Candelária | |1
430|Apartamento para venda Corais de Ponta Negra, 89m², com 3 quartos em Ponta Negra - Natal -|R$ 350.000|3 quartos|89m²|R$ 0|2 vagas|Natal, Ponta Negra | |2
431| | | | | | | | | 
432|Apartamento para venda Corais de Ponta Negra, 89m², com 3 quartos em Ponta Negra - Natal -|R$ 350.000|3 quartos|89m²|R$ 0|2 vagas|Natal, Ponta Negra | |2
433|Apartamento para venda tem 160 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 400.000|3 quartos|160m²|R$ 900|2 vagas|Natal, Tirol | |2
434|Apartamento para venda tem 100 metros quadrados com 3 quartos em Barro Vermelho - Natal - |R$ 460.000|3 quartos|100m²|R$ 870|2 vagas|Natal, Barro Vermelho | |2
435|Apartamento para venda com 98 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 850.000|3 quartos|98m²|R$ 0|2 vagas|Natal, Tirol | |2
436|Apartamento para venda com 236 metros quadrados com 3 quartos em Areia Preta - Natal - RN|R$ 1.900.000|3 quartos|236m²|R$ 2.400|4 vagas|Natal, Areia Preta | |4
437|Apartamento para venda tem 136 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 835.000|3 quartos|136m²|R$ 1.100|2 vagas|Natal, Tirol | |2
438|Apartamento para venda com 79 metros quadrados com 3 quartos em Ponta Negra - Natal - RN|R$ 730.000|3 quartos|79m²|R$ 650|2 vagas|Natal, Ponta Negra | |2
439|Apartamento para venda com 57 metros quadrados com 2 quartos em Candelária - Natal - RN|R$ 310.000|2 quartos|57m²|R$ 400|1 vaga|Natal, Candelária | |1
440|Apartamento para venda possui 89 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 315.000|3 quartos|89m²|R$ 583|2 vagas|Natal, Lagoa Nova | |2
441|Apartamento para venda tem 160 metros quadrados com 2 quartos em Petrópolis - Natal - RN|R$ 580.000|2 quartos|160m²|R$ 1.000|1 vaga|Natal, Petrópolis | |1
442|Apartamento para venda com 70 metros quadrados com 3 quartos em Cidade Alta - Natal - RN|R$ 130.000|3 quartos|70m²|R$ 0| |Natal, Cidade Alta | |Permitido animais, Condomínio fechado
443|Apartamento para venda tem 96 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 400.000|3 quartos|96m²|R$ 1.000|2 vagas|Natal, Tirol | |2
444|Apartamento para venda com 98 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 850.000|3 quartos|98m²|R$ 0|2 vagas|Natal, Tirol | |2
445| | | | | | | | | 
446|Apartamento para venda com 92 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 350.000|3 quartos|92m²|R$ 0|2 vagas|Natal, Lagoa Nova | |2
447|Apartamento para venda possui 57 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 265.000|2 quartos|57m²|R$ 430|1 vaga|Natal, Lagoa Nova | |1
448|Apartamento para venda com 190 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 700.000|3 quartos|1901m²|R$ 0|2 vagas|Natal, Tirol | |2
449|Apartamento para venda tem 100 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 710.000|3 quartos|100m²|R$ 0|2 vagas|Natal, Tirol | |2
450| | | | | | | | | 
451|Apartamento para venda com 296 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 1.000.000|4 quartos|296m²|R$ 1.800|4 vagas|Natal, Tirol | |4
452|Apartamento para venda possui 79 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 185.000|3 quartos|79m²|R$ 260|1 vaga|Natal, Lagoa Nova | |1
453|Apartamento para venda possui 100 metros quadrados com 3 quartos em Lagoa Nova - Natal - R|R$ 680.000|3 quartos|100m²|R$ 850|2 vagas|Natal, Lagoa Nova | |2
454|Apartamento para venda possui 131 metros quadrados com 3 quartos em Lagoa Nova - Natal - R|R$ 750.000|3 quartos|131m²|R$ 1.100|2 vagas|Natal, Lagoa Nova | |2
455| | | | | | | | | 
456|Apartamento para venda possui 370 metros quadrados com 4 quartos em Ribeira - Natal - RN|R$ 1.997.000|4 quartos|370m²|R$ 2.875|4 vagas|Natal, Ribeira | |4
457|Apartamento para venda possui 57 metros quadrados com 2 quartos em Tirol - Natal - RN|R$ 320.000|2 quartos|57m²|R$ 450|1 vaga|Natal, Tirol | |1
458|Apartamento para venda com 71 metros quadrados com 3 quartos em Areia Preta - Natal - RN|R$ 250.000|3 quartos|71m²|R$ 915|2 vagas|Natal, Areia Preta | |2
459|Apartamento para venda tem 58 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 370.000|2 quartos|58m²|R$ 480|2 vagas|Natal, Lagoa Nova | |2
460|Apartamento MOBILIADO para VENDA com 2 quartos em Ponta Negra - Natal - RN|R$ 450.000|2 quartos|58m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
461|Apartamento para venda, 117m² com 4 quartos em Neópolis - Natal - RN|R$ 650.000|4 quartos|117m²|R$ 643|2 vagas|Natal, Neópolis | |2
462|Apartamento para venda tem 198 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 600.000|4 quartos|198m²|R$ 0|3 vagas|Natal, Tirol | |3
463|Apartamento para venda possui 225 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 2.200.000|4 quartos|225m²|R$ 0|4 vagas|Natal, Tirol | |4
464| | | | | | | | | 
465|Apartamento para venda com 53 metros quadrados com 2 quartos em Planalto - Natal - RN|R$ 97.000|2 quartos|53m²|R$ 245|1 vaga|Natal, Planalto | |1
466|Apartamento para venda com 184 metros quadrados com 5 quartos em Tirol - Natal - RN|R$ 720.000|5 ou mais quartos|184m²|R$ 1.000|3 vagas|Natal, Tirol | |3
467|Apartamento para venda possui 119 metros quadrados com 3 quartos em Lagoa Nova - Natal - R|R$ 520.000|3 quartos|119m²|R$ 1.150|2 vagas|Natal, Lagoa Nova | |2
468|Apartamento para venda com 296 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 1.100.000|4 quartos|296m²|R$ 1.800|5 ou mais vagas|Natal, Tirol | |5 ou mais
469|Apartamento para venda tem 58 metros em Lagoa Nova - Natal - RN|R$ 220.000|2 quartos|58m²|R$ 600|1 vaga|Natal, Lagoa Nova | |1
470| | | | | | | | | 
471|Apartamento para venda com 54 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 135.000|2 quartos|54m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
472|Apartamento para venda tem 50 metros quadrados com 1 quarto em Bom Pastor - Natal - RN|R$ 108.000|1 quarto|50m²|R$ 220|1 vaga|Natal, Bom Pastor | |1
473|Apartamento para venda com 83 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 250.000|3 quartos|83m²|R$ 750|1 vaga|Natal, Candelária | |1
474|Apartamento para venda com 83 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 250.000|3 quartos|83m²|R$ 750|1 vaga|Natal, Candelária | |1
475|Apartamento para venda possui 55 metros quadrados com 2 quartos em Pitimbu - Natal - RN|R$ 250.000|2 quartos|55m²|R$ 371|1 vaga|Natal, Pitimbu | |1
476|Apartamento para venda Solar Nabor Maia com 55m²  2/4 em Tirol - Natal - RN|R$ 279.000|2 quartos|55m²|R$ 425|1 vaga|Natal, Tirol | |1
477|Apartamento para venda  com 2 quartos no Natal River em Nova Parnamirim|R$ 215.000|2 quartos|57m²|R$ 0|1 vaga|Parnamirim, Nova Parnamirim | |1
478|Apartamento para venda com 28 metros quadrados com 1 quarto em Ponta Negra - Natal - RN|R$ 240.000|1 quarto|28m²|R$ 0| |Natal, Ponta Negra | |59092300
479|Apartamento para venda tem 59 metros quadrados com 2 quartos em Capim Macio - Natal - RN|R$ 400.000|2 quartos|59m²|R$ 634|2 vagas|Natal, Capim Macio | |2
480|Apartamento para venda tem 137 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 950.000|3 quartos|137m²|R$ 1.100|2 vagas|Natal, Tirol | |2
481|Apartamento para venda possui 87 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 485.000|3 quartos|87m²|R$ 550|2 vagas|Natal, Lagoa Nova | |2
482| | | | | | | | | 
483|Apartamento para venda com 77 metros quadrados com 3 quartos em Dix-Sept Rosado - Natal - |R$ 360.000|3 quartos|77m²|R$ 399|2 vagas|Natal, Dix-Sept Rosado | |2
484|Apartamento para venda com 55 metros quadrados com 2 quartos em Planalto - Natal - RN|R$ 114.999|2 quartos|55m²|R$ 0|1 vaga|Natal, Planalto | |1
485|Apartamento para venda possui 236 metros quadrados com 3 quartos em Areia Preta - Natal - |R$ 2.000.000|3 quartos|236m²|R$ 2.400|4 vagas|Natal, Areia Preta | |4
486|Apartamento para venda com 65 metros quadrados com 2 quartos em Capim Macio - Natal - RN|R$ 144.800|2 quartos|65m²|R$ 0|2 vagas|Natal, Capim Macio | |2
487| | | | | | | | | 
488|Apartamento para venda Ed. Mediterranee, 137m²,com 4 quartos em Capim Macio - Natal - RN|R$ 550.000|4 quartos|137m²|R$ 1.290|2 vagas|Natal, Capim Macio | |2
489|Apartamento para venda Parque Amazônico, 98m², com 3 quartos em Tirol - Natal - RN|R$ 250.000|3 quartos|98m²|R$ 415|2 vagas|Natal, Tirol | |2
490|Apartamento para venda Villagio Veritá, 56m², com 2 quartos em Cidade Satélite - Natal - R|R$ 105.000|2 quartos|56m²|R$ 250|1 vaga|Natal, Pitimbu | |1
491|Apartamento para venda Jardim Botânico, 89m², com 3 quartos em Neópolis - Natal - RN|R$ 180.000|3 quartos|89m²|R$ 140|1 vaga|Natal, Neópolis | |1
492| | | | | | | | | 
493|Apartamento para venda Veritá II, 56m²,com 2 quartos em Cidade Satélite - Natal - RN|R$ 105.000|2 quartos|56m²|R$ 250|1 vaga|Natal, Pitimbu | |1
494|Apartamento para venda Atalaia, 89m², com 3 quartos em Areia Preta - Natal - RN|R$ 480.000|3 quartos|89m²|R$ 800|2 vagas|Natal, Areia Preta | |2
495|Apartamento para venda possui 98 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 598.000|3 quartos|98m²|R$ 450|2 vagas|Natal, Candelária | |2
496|Apartamento para venda com 104 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 380.000|3 quartos|104m²|R$ 1.300|2 vagas|Natal, Tirol | |2
497|Apartamento para venda tem 55 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 300.000|2 quartos|55m²|R$ 1.453|1 vaga|Natal, Ponta Negra | |1
498|Apartamento para venda tem 117 metros quadrados com 3 quartos em Neópolis - Natal - RN|R$ 620.000|3 quartos|117m²|R$ 0|3 vagas|Natal, Neópolis | |3
499| | | | | | | | | 
500|Apartamento para venda com 45 metros quadrados com 2 quartos em Planalto - Natal - RN|R$ 169.900|2 quartos|45m²|R$ 0|1 vaga|Natal, Planalto | |1
501|Apartamento para venda tem 80 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 430.000|3 quartos|80m²|R$ 480|2 vagas|Natal, Lagoa Nova | |2
502|Apartamento para venda com 220 metros quadrados com 4 quartos em Lagoa Nova - Natal - RN|R$ 540.000|4 quartos|220m²|R$ 1.200|2 vagas|Natal, Lagoa Nova | |2
503|Apartamento para venda tem 80 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 360.000|3 quartos|80m²|R$ 570|2 vagas|Natal, Lagoa Nova | |2
504|Apartamento para venda tem 52 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 309.990|2 quartos|52m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
505|Apartamento para venda tem 119 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 850.000|3 quartos|119m²|R$ 607|3 vagas|Natal, Lagoa Nova | |3
506|Apartamento para venda possui 93 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 550.000|3 quartos|93m²|R$ 550|2 vagas|Natal, Tirol | |2
507|Apartamento para venda com 80 metros quadrados com 3 quartos em Lagoa Seca - Natal - RN|R$ 280.000|3 quartos|80m²|R$ 340|2 vagas|Natal, Lagoa Seca | |2
508|Apartamento para venda Sun Golden, 54m², com 2 quartos em Neópolis - Natal - RN|R$ 250.000|2 quartos|54m²|R$ 350|1 vaga|Natal, Ponta Negra | |1
509|Apartamento para venda Burle Marx, 200m², com 4 quartos em Candelária - Natal - RN|R$ 690.000|4 quartos|200m²|R$ 1.700|3 vagas|Natal, Candelária | |3
510|Apartamento para venda Louvre(Paris), 91m², com 3 quartos em Lagoa Nova - Natal - RN|R$ 255.000|3 quartos|91m²|R$ 800|1 vaga|Natal, Lagoa Nova | |1
