|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
40|Apartamento para venda tem 96 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 480.000|3 quartos|96m²|R$ 0|2 vagas|Natal, Capim Macio | |2
41| | | | | | | | | 
42|Apartamento para venda com 144 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 750.000|3 quartos|144m²|R$ 1.280|3 vagas|Natal, Lagoa Nova | |3
43|Apartamento para venda possui 88 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 724.000|3 quartos|88m²|R$ 850|2 vagas|Natal, Tirol | |2
44|Apartamento para venda tem 98 metros quadrados com 3 quartos em Tirol - Natal - Rio Grande|R$ 710.000|3 quartos|98m²|R$ 881|2 vagas|Natal, Tirol | |2
45|Apartamento para venda com 49 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 185.000|2 quartos|49m²|R$ 200|1 vaga|Natal, Ponta Negra | |1
46|Apartamento para venda com 230 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 750.000|4 quartos|230m²|R$ 0|3 vagas|Natal, Tirol | |3
47|Apartamento para venda Soneto Potengi, Petrópolis - Natal - RN|R$ 1.050.000|4 quartos|330m²|R$ 1.542|3 vagas|Natal, Petrópolis | |3
48|Apartamento para venda com 54 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 276.000|2 quartos|54m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
49|Apartamento para venda possui 57 metros quadrados com 2 quartos em Lagoa Nova - Natal - RN|R$ 240.000|2 quartos|57m²|R$ 470|1 vaga|Natal, Lagoa Nova | |1
50|Apartamento para venda possui 65 metros quadrados com 2 quartos em Ponta Negra - Natal - R|R$ 120.000|2 quartos|65m²|R$ 400|1 vaga|Natal, Ponta Negra | |1
51| | | | | | | | | 
52|Apartamento para venda tem 75 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 420.000|3 quartos|75m²|R$ 620|2 vagas|Natal, Lagoa Nova | |2
53|Apartamento para venda tem 59 metros quadrados com 2 quartos em Lagoa Seca - Natal - RN|R$ 280.000|2 quartos|59m²|R$ 265|1 vaga|Natal, Lagoa Seca | |1
54|Apartamento para venda possui 146 metros quadrados com 2 quartos em Lagoa Nova - Natal - R|R$ 720.000|2 quartos|146m²|R$ 950|2 vagas|Natal, Lagoa Nova | |2
55|Apartamento para venda Sports Park, 230m², 3 quartos em Ponta Negra - Natal|R$ 1.600.000|3 quartos|230m²|R$ 0|3 vagas|Natal, Ponta Negra | |3
56|Apartamento para venda possui 57 metros quadrados com 2 quartos em Barro Vermelho - Natal |R$ 280.000|2 quartos|57m²|R$ 0|1 vaga|Natal, Barro Vermelho | |1
57| | | | | | | | | 
58|Apartamento para venda tem com 2 quartos em Ponta Negra - Natal - RN - Residencial Poetas|R$ 276.000|2 quartos|55m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
